time,ax,ay,az,atotal
5.362,-0.03,-0.08,-0.05,0.10
5.372,-0.07,-0.12,-0.08,0.16
5.382,-0.09,-0.12,-0.02,0.15
5.392,-0.10,-0.11,0.06,0.16
5.402,-0.07,-0.10,0.12,0.17
5.413,-0.01,-0.10,0.12,0.15
5.423,0.04,-0.10,0.05,0.11
5.433,0.08,-0.09,-0.01,0.12
5.443,0.09,-0.07,-0.04,0.12
5.453,0.09,-0.03,-0.03,0.10
5.463,0.06,-0.02,0.02,0.07
5.473,0.04,-0.02,0.02,0.05
5.483,0.04,-0.03,-0.01,0.05
5.493,0.02,-0.03,0.00,0.03
5.503,-0.01,-0.03,0.02,0.04
5.513,-0.02,-0.01,0.07,0.07
5.523,-0.01,-0.02,0.08,0.08
5.533,0.02,-0.03,0.07,0.08
5.543,0.07,-0.00,0.00,0.07
5.553,0.13,0.01,-0.06,0.14
5.563,0.17,-0.01,-0.07,0.18
5.574,0.17,-0.05,-0.04,0.18
5.584,0.18,-0.07,0.03,0.19
5.594,0.18,-0.05,0.05,0.20
5.604,0.19,-0.02,0.04,0.20
5.614,0.26,0.02,-0.40,0.48
5.624,0.30,-0.03,-0.52,0.60
5.634,0.09,-0.08,0.02,0.12
5.644,0.07,-0.08,0.21,0.24
5.654,0.03,-0.02,0.34,0.34
5.664,-0.01,0.09,0.35,0.36
5.674,-0.00,0.10,0.14,0.17
5.684,0.01,0.01,-0.26,0.26
5.694,0.14,-0.03,-0.34,0.37
5.705,0.16,-0.02,-0.17,0.23
5.714,0.23,-0.01,-0.07,0.24
5.725,0.27,-0.02,-0.01,0.27
5.735,0.22,-0.04,0.02,0.23
5.745,0.09,-0.03,-0.04,0.10
5.755,0.07,-0.00,-0.10,0.12
5.765,0.10,-0.09,-0.16,0.21
5.775,0.12,-0.09,-0.12,0.19
5.785,0.19,-0.08,-0.05,0.21
5.795,0.22,-0.09,0.04,0.25
5.805,0.20,-0.06,0.10,0.23
5.815,0.15,-0.00,0.07,0.17
5.825,0.11,0.02,0.00,0.11
5.835,0.09,0.00,-0.03,0.10
